lrn1007
1.00000	0.00000
0.96050	0.00780
0.92050	0.01620
0.88050	0.02509
0.84050	0.03467
0.80050	0.04498
0.76050	0.05585
0.72050	0.06679
0.68050	0.07608
0.63686	0.08280
0.58975	0.08837
0.54195	0.09203
0.49384	0.09433
0.44577	0.09527
0.39818	0.09491
0.35152	0.09334
0.30628	0.09056
0.26288	0.08666
0.22176	0.08167
0.18330	0.07570
0.14786	0.06881
0.11573	0.06113
0.08722	0.05281
0.06252	0.04400
0.04183	0.03492
0.02626	0.02635
0.01288	0.01690
0.00471	0.00864
0.00050	0.00240
0.00000	0.00000
0.00050	0.00005
0.00471	0.00100
0.01288	0.00322
0.02626	0.00646
0.04183	0.00922
0.06252	0.01225
0.08722	0.01499
0.11573	0.01703
0.14786	0.01863
0.18330	0.01948
0.22176	0.02009
0.26288	0.02052
0.30628	0.02081
0.35152	0.02151
0.39818	0.02217
0.44577	0.02277
0.49384	0.02310
0.54195	0.02354
0.58975	0.02378
0.63696	0.02353
0.68050	0.02242
0.72050	0.02067
0.76050	0.01839
0.80050	0.01595
0.84050	0.01286
0.88050	0.00972
0.92050	0.00649
0.96050	0.00320
1.00000	0.00000
