MH 120  8.0% 
  1.00000000  0.00000000
  0.99679998  0.00083000
  0.98778998  0.00341000
  0.97395998  0.00741000
  0.95563998  0.01197000
  0.93257998  0.01671000
  0.90486998  0.02178000
  0.87295998  0.02724000
  0.83734998  0.03298000
  0.79856998  0.03884000
  0.75722998  0.04454000
  0.71374998  0.04970000
  0.66845999  0.05403000
  0.62160999  0.05737000
  0.57344999  0.05965000
  0.52438999  0.06100000
  0.47490999  0.06149000
  0.42555999  0.06115000
  0.37682999  0.06001000
  0.32924999  0.05810000
  0.28329999  0.05546000
  0.23944999  0.05216000
  0.19817000  0.04825000
  0.15986000  0.04381000
  0.12494000  0.03892000
  0.09377000  0.03367000
  0.06666000  0.02815000
  0.04389000  0.02248000
  0.02572000  0.01677000
  0.01233000  0.01113000
  0.00381000  0.00563000
  0.00000000  0.00075000
  0.00184000 -0.00319000
  0.00972000 -0.00688000
  0.02277000 -0.01047000
  0.04090000 -0.01362000
  0.06404000 -0.01636000
  0.09189000 -0.01873000
  0.12409000 -0.02071000
  0.16025000 -0.02226000
  0.19993000 -0.02330000
  0.24264999 -0.02377000
  0.28790999 -0.02349000
  0.33532999 -0.02224000
  0.38473999 -0.01995000
  0.43585999 -0.01674000
  0.48837999 -0.01285000
  0.54186999 -0.00868000
  0.59561999 -0.00459000
  0.64892999 -0.00082000
  0.70103998  0.00239000
  0.75119998  0.00490000
  0.79860998  0.00660000
  0.84253998  0.00745000
  0.88224998  0.00746000
  0.91707998  0.00674000
  0.94644998  0.00540000
  0.96976998  0.00366000
  0.98656998  0.00187000
  0.99664998  0.00052000
  1.00000000  0.00000000
